Familia,Serie,Metodo_FS,Metrics_Source_File,Pkl_Source_Dir,Features_Source_File,NFeatures,Trivial,MSE_Baseline,MSE_FS,RMSE_Baseline,RMSE_FS,MAE_Baseline,MAE_FS,MAPE_Baseline,MAPE_FS,theil_Baseline,theil_FS,ARV_Baseline,ARV_FS,IA_Baseline,IA_FS,POCID_Baseline,POCID_FS,PctGain
SVR,austres,lasso,results/chamados_pct10_fs_svr_lasso/metrics.csv,data/result/chamados_pct10_fs_svr_lasso/,results/chamados_pct10_fs_svr_lasso/selected_features.csv,8.000000,True,444.311250,444.311250,21.078692,21.078692,16.022086,16.022086,0.091637,0.091637,0.161547,0.161547,0.045443,0.045443,0.988530,0.988530,87.500000,87.500000,0.000000
SVR,austres,rfecv,results/chamados_pct10_fs_svr_rfecv/metrics.csv,data/result/chamados_pct10_fs_svr_rfecv/,results/chamados_pct10_fs_svr_rfecv/selected_features.csv,6.000000,True,444.311250,327.029163,21.078692,18.083948,16.022086,14.333335,0.091637,0.081938,0.161547,0.116376,0.045443,0.032000,0.988530,0.991770,87.500000,87.500000,14.207448
SVR,coloradoRiver,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,67.000000,False,0.028261,0.028261,0.168109,0.168109,0.133719,0.133719,16.214459,16.214459,0.765242,0.765242,0.716599,0.716599,0.809906,0.809906,63.513514,63.513514,0.000000
SVR,coloradoRiver,ftest,results/chamados_pct10_fs_svr_ftest/metrics.csv,data/result/chamados_pct10_fs_svr_ftest/,results/chamados_pct10_fs_svr_ftest/selected_features.csv,20.000000,False,0.028261,0.030860,0.168109,0.175672,0.133719,0.142160,16.214459,17.009126,0.765242,0.757359,0.716599,0.782917,0.809906,0.793196,63.513514,56.756757,-4.498380
SVR,coloradoRiver,mutualinfo,results/chamados_pct10_fs_svr_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_svr_mutualinfo/,results/chamados_pct10_fs_svr_mutualinfo/selected_features.csv,20.000000,False,0.028261,0.030151,0.168109,0.173642,0.133719,0.141637,16.214459,17.352411,0.765242,0.693683,0.716599,0.758742,0.809906,0.799197,63.513514,56.756757,-3.290915
SVR,coloradoRiver,rfembedded,results/chamados_pct10_fs_svr_rfembedded/metrics.csv,data/result/chamados_pct10_fs_svr_rfembedded/,results/chamados_pct10_fs_svr_rfembedded/selected_features.csv,14.000000,False,0.028261,0.031008,0.168109,0.176090,0.133719,0.138528,16.214459,16.744742,0.765242,0.766763,0.716599,0.809599,0.809906,0.791641,63.513514,54.054054,-4.747028
SVR,coloradoRiver,lasso,results/chamados_pct10_fs_svr_lasso/metrics.csv,data/result/chamados_pct10_fs_svr_lasso/,results/chamados_pct10_fs_svr_lasso/selected_features.csv,55.000000,False,0.028261,0.026683,0.168109,0.163349,0.133719,0.129528,16.214459,15.808898,0.765242,0.737272,0.716599,0.685948,0.809906,0.820445,63.513514,64.864865,2.831907
SVR,coloradoRiver,rfecv,results/chamados_pct10_fs_svr_rfecv/metrics.csv,data/result/chamados_pct10_fs_svr_rfecv/,results/chamados_pct10_fs_svr_rfecv/selected_features.csv,14.000000,False,0.028261,0.032200,0.168109,0.179444,0.133719,0.136651,16.214459,16.237492,0.765242,0.801721,0.716599,0.845135,0.809906,0.782950,63.513514,52.702703,-6.742180
SVR,samurec,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,107.000000,False,53.223628,53.223628,7.295453,7.295453,6.150435,6.150435,21.673701,21.673701,2.822496,2.822496,3.583096,3.583096,0.462201,0.462201,57.627119,57.627119,0.000000
SVR,samurec,ftest,results/chamados_pct10_fs_svr_ftest/metrics.csv,data/result/chamados_pct10_fs_svr_ftest/,results/chamados_pct10_fs_svr_ftest/selected_features.csv,9.000000,False,53.223628,70.078848,7.295453,8.371311,6.150435,6.581379,21.673701,23.204522,2.822496,1.971769,3.583096,2.366553,0.462201,0.432185,57.627119,36.440678,-14.746974
